number,name,status
635,Structural Pattern Matching: Motivation and Rationale,Final
630,Isolating Extension Modules,Informational
579,Refactoring C functions and methods,Informational
693,Python 3.12 Release Schedule,Active
719,Python 3.13 Release Schedule,Active
514,Python registration in the Windows registry,Informational
659,Specializing Adaptive Interpreter,Final
482,Literature Overview for Type Hints,Informational
672,Unicode-related Security Considerations for Python,Active
636,Structural Pattern Matching: Tutorial,Informational
607,Reducing CPython’s Feature Delivery Latency,Informational
588,GitHub Issues Migration Plan,Final
619,Python 3.10 Release Schedule,Active
483,The Theory of Type Hints,Informational
434,IDLE Enhancement Exception for All Branches,Informational
452,API for Cryptographic Hash Functions v2.0,Final
430,Migrating to Python 3 as the default online documentation,Informational
457,Notation For Positional-Only Parameters,Informational
333,Python Web Server Gateway Interface v1.0,Informational
287,reStructuredText Docstring Format,Informational
772,Packaging Council governance process,Process
272,API for Block Encryption Algorithms v1.0,Final
399,Pure Python/C Accelerator Module Compatibility Requirements,Final
257,Docstring Conventions,Informational
290,Code Migration and Modernization,Active
394,The “python” Command on Unix-Like Systems,Active
249,Python Database API Specification v2.0,Informational
20,The Zen of Python,Active
811,Defining Python Security Response Team membership and responsibilities,Active
761,Deprecating PGP signatures for CPython artifacts,Active
247,API for Cryptographic Hash Functions,Final
732,The Python Documentation Editorial Board,Active
248,Python Database API Specification v1.0,Informational
101,Doing Python Releases 101,Active
676,PEP Infrastructure Process,Process
602,Annual Release Cycle for Python,Active
729,Typing governance process,Process
387,Backwards Compatibility Policy,Process
731,C API Working Group Charter,Process
609,Python Packaging Authority (PyPA) Governance,Active
13,Python Language Governance,Active
545,Python Documentation Translations,Active
8,Style Guide for Python Code,Active
10,Voting Guidelines,Active
11,CPython platform support,Active
4,Deprecation of Standard Modules,Active
7,Style Guide for C Code,Active
2,Procedure for Adding New Modules,Active
1,PEP Purpose and Guidelines,Active
12,Sample reStructuredText PEP Template,Active
